name,description,place_count
park,"Parks, gardens, and outdoor recreational areas",601
temple,Religious and spiritual sites including shrines and temples,506
historical,Historical sites and landmarks,214
transport,Transportation hubs including stations and airports,151
nature,Natural attractions and scenic spots,151
restaurant,Dining establishments and eateries,148
shopping,"Shopping areas, stores, and markets",116
museum,"Museums, galleries, and cultural centers",112
hotel,Accommodation and lodging facilities,66
entertainment,Entertainment venues and attractions,27
