place_name,activity,prefecture
Okazaki Park,temple,Kyoto
Kuratake Shrine,temple,Kumamoto
Suehiro,temple,Okinawa
Hokkaido Jingu,temple,Hokkaido
EL FARO,temple,Okinawa
Tsukiji Aozora Sandaime Tsukiji Honten,temple,Tokyo
Fujikake,temple,Tokyo
Pompon Cakes,temple,Kanagawa
Ōmiya Western Sweets Shop,temple,Tokyo
ADERERROR Tokyo Space,temple,Tokyo
CASA SOL,temple,Okinawa
PAMM家,temple,Tokyo
Yobo-kan (Tateyama Museum),temple,Toyama
Mandala Yuen (Tateyama Museum of Toyama),temple,Toyama
Tateyama Museum of Toyama (Exhibition Hall),temple,Toyama
Yokohama Hakkeijima Sea Paradise,temple,Kanagawa
Shibuki,temple,Shizuoka
Kanzanji Ropeway,temple,
Hamamatsu Flower Park,temple,Shizuoka
Amagoi Waterfalls,temple,Tokushima
Atera Valley,temple,Nagano
Hōonji Temple (500 Rakan),temple,Iwate
Mt.Ushiro Seminar House Sansō.,temple,Hiroshima
Ōfuna Kannon-ji,temple,Kanagawa
Nissekiji,temple,Toyama
Ogawa Waterfalls Observation Deck,temple,Kagoshima
Jogi Nyorai Saihoji Temple,temple,Miyagi
Mirei Shigemori Garden Museum,temple,Kyoto
Shōnan-Enoshima Station,temple,Kanagawa
AMORE Vintage AOYAMA,temple,Tokyo
Takaragawa Onsen,temple,Gunma
La Grace,temple,Hyogo
閑乗寺公園 展望台,temple,Toyama
Kimuraya,temple,Yamagata
室堂山展望台,temple,Toyama
歩く鳥,temple,Kyoto
Kousanji Temple,temple,Hiroshima
Takumi (Arts & Crafts) Gallery,temple,Fukuoka
Jōchi-ji,temple,Kanagawa
Yamanashi Prefectural Fuji-yuusui-no-sato & Mori-no-naka Aquarium,temple,Yamanashi
Higashiyama Kaii Setouchi Art Museum,temple,Kagawa
Chionji Temple,temple,Kyoto
Fuji Motosuko Resort,temple,Yamanashi
anrealage homme harajuku,temple,Tokyo
Cape Kamiwarizaki,temple,Miyagi
Saijo Inari Myokyo Temple,temple,Okayama
Art House Project: Minamidera,temple,Kagawa
Tobu Museum,temple,Tokyo
Tottori Prefectural Museum of Art,temple,Tottori
Mojiko Beer Factory,temple,Fukuoka
Tokuunji,temple,Nagano
Keikuji,temple,Niigata
Hohisayamaseson Temple,temple,Niigata
Senjo-jiki,temple,Niigata
Tsugami Shrine,temple,Niigata
Rengebuji,temple,Niigata
Konpon-ji,temple,Niigata
Seisuiji Temple,temple,Niigata
"Toki Watching Tower and Observation Deck ""Toki Terrace""",temple,Niigata
Limbo of Infants Shrine,temple,Niigata
Myosen-ji,temple,Niigata
Kutaniyaki Art Museum,temple,Ishikawa
Sakanaan Senjojiki,temple,Fukuoka
鷹狩山 展望台,temple,Nagano
金山テラス,temple,Shizuoka
Genji,temple,Miyagi
Yakiniku Shioyaki Satsuma,temple,Osaka
Manraku Unagi,temple,Miyazaki
Sugahara Shrine,temple,Kagoshima
Zuikozan Kiyomizudera Temple,temple,Shimane
Daikichi,temple,Kyoto
Paradise vintage,temple,Tokyo
Ryukyu Glass Village,temple,Okinawa
修善寺自然公園 もみじ林,temple,Shizuoka
Saishōin Temple,temple,Aomori
Menya Kaijin Shinjuku Ten,temple,Tokyo
Honmachi Oribe Street,temple,Gifu
ハナタロウ商店,temple,Gifu
KAMAYA,temple,Gifu
National Theatre Okinawa,temple,Okinawa
Chounohane,temple,Kyoto
Shorei-sha Shrine Tainai-Kuguri (Narrow Sanctified Cavern),temple,Wakayama
Sanbutsu-ji Temple,temple,Tottori
"Nashikkokan, Tottori Nijisseiki Pear Museum",temple,Tottori
ミートショップＳＨＩＭＯＨＡＲＡ,temple,Hiroshima
Manekineko Museum,temple,Okayama
Miyajima Ropeway,temple,Aichi
Kozan-ji Butsuden (Buddha Hall),temple,Yamaguchi
Marufuji Cake House,temple,Ishikawa
シラスウナギ漁 駐車場,temple,Tokushima
Seaside Literary Memorial Museum,temple,Aichi
Togu-do,temple,Kyoto
Terasaki coffee,temple,Yamanashi
QOO,temple,Tokyo
Hikiniku to Come (Kichijoji),temple,Tokyo
Sangirou Saryou KAITO,temple,Fukuoka
Miyajima Light-up Cruise,temple,Aichi
Greenarium Awajishima,temple,Hyogo
Ann,temple,Kyoto
Zooton's,temple,Okinawa
