place_name,cuisine,prefecture
CUCUCHI (sweets & cafe),cafe,Oita
Cafe de Pale Jute,cafe,Tokyo
Bäckerei Konditorei Hidaka / Eis & Café Hidaka,cafe,Shimane
CSG BLUE CAFE AOYAMA,cafe,Tokyo
Mikado Coffee,cafe,Tokyo
COFFEE & CAKE STAND LULU,cafe,Fukuoka
COFFEE COUNTY Kurume,cafe,Fukuoka
cafe MARU,cafe,Aichi
st cafe,cafe,Gunma
ダカフェ 本店,cafe,Aichi
Mikado Coffee Old Karuizawa Street Shop,cafe,Nagano
OIMO cafe,cafe,Saitama
café recette,cafe,Kanagawa
ガーデンカフェレストラン b Kitchen,cafe,Fukushima
Coffee L'ambre,cafe,Tokyo
Cafe & Bar Chill’s Kyoto,cafe,Kyoto
Terasaki coffee,cafe,Yamanashi
Komagura Cafe,cafe,Tokyo
Cafe France-ya Ginza,cafe,Tokyo
Akebono Cafe,cafe,Yamaguchi
cafe&pottery音,cafe,Yamaguchi
The neighborhood coffee&burger,cafe,Nagasaki
Hiraoka Coffee,cafe,Osaka
Rond sucré cafe（ロンシュクレカフェ）,cafe,Hyogo
cafe Tomiyama,cafe,Mie
agnès b. Cafe Gion,cafe,Kyoto
六’cafe,cafe,Hokkaido
松本十帖 「おやきと、コーヒー by artless craft tea & coffee」,cafe,Nagano
カフェウエスヤ,cafe,Okinawa
Kissa Morning (Cafe Morning),cafe,Aichi
BUSH de coffee,cafe,Wakayama
1988 CAFE SHOZO (Scone Pastry),cafe,Tochigi
カフェ・オフィシーヌ・ユニヴェルセル・ビュリー神戸 CAFÉ OFFICINE UNIVERSELLE BULY KOBE,cafe,Hyogo
Cafe&Hall&Gallery FUJIYA HANAYAMOMO,cafe,Oita
Mijinco Coffee,cafe,Tokyo
Tricolore coffee,cafe,Tokyo
ongaku&coffee,cafe,Nara
BAM BI COFFEE,cafe,Tokyo
Cafe Creperiz,cafe,Hokkaido
Cafe La Paix,cafe,Chiba
cafe coucou,cafe,Hokkaido
Hoshino Coffee House Ginza,cafe,Tokyo
Tsukikoya Coffee Roaster 山の上店,cafe,Kanagawa
LIB COFFEE IMARI,cafe,Saga
Lion Cafe,cafe,Kyoto
Bookcafe Okinawa Rail,cafe,Okinawa
Okurayama Tukimisou cafe,cafe,Hokkaido
Ogawa Coffee - Sakaimachi Nishiki,cafe,Kyoto
NARAYA CAFE,cafe,Kanagawa
Hobodo Cafe,cafe,Kyoto
Haretoke cafe,cafe,Tokushima
Cafe Brasileiro,cafe,Fukuoka
Zelkova Coffee,cafe,Fukuoka
Cafe Ura Hoto,cafe,Saitama
Cafe FLEUR,cafe,Tochigi
cafe Senryo-chaya,cafe,Tochigi
Niemon Cafe,cafe,Tochigi
HONGŪ CAFE,cafe,Tochigi
LANCATLGUE CAFE NIKKO VORTEX and QUEENIE,cafe,Tochigi
Silvia Coffee Shop Osu,cafe,Aichi
The Unir Coffee Senses,cafe,Kyoto
Yohachiro Cafe & Sweets,cafe,Oita
SOUZAEMON byTAKADA COFFEE,cafe,Yamaguchi
Hotoritei Cafe,cafe,Yamaguchi
cafe flots,cafe,Kagawa
Soseki Coffee Shop Aishoutei,cafe,Chiba
KANNON COFFEE kamakura,cafe,Kanagawa
Iwata Coffee Shop,cafe,Kanagawa
CAFE de ROMAN Moiwa,cafe,Hokkaido
Jazz Bar & Cafe ROMAN,cafe,Tokyo
Minato Coffee,cafe,Gifu
Jiyu-tei Cafe and Teahouse,cafe,Nagasaki
Cafe Erica,cafe,Tokyo
Good up Coffee,cafe,Fukuoka
Micasadeco & Cafe,cafe,Osaka
Hashigo Cafe Kyoto,cafe,Kyoto
Pelican Café,cafe,Tokyo
Cafe Bibliotic Hello!,cafe,Kyoto
The Rita coffee,cafe,Osaka
Cafe & Library Noka,cafe,Mie
Coffee Tei Rouen,cafe,Tokyo
Old House Cafe Rengetsu,cafe,Tokyo
Cafe de l'ambre,cafe,Tokyo
Coffee Marumo,cafe,Nagano
ROAR COFFEEHOUSE & ROASTERY,cafe,Tokyo
Taizando Cafe,cafe,Saitama
Yama Cafe,cafe,Aichi
Kohi Monogatari [The Story of Coffee],cafe,Tokyo
Gohan x Café madei,cafe,Tokyo
Nagonoya Cafe & Hostel,cafe,Aichi
Silvia Coffee Kaminokura,cafe,Aichi
Saera coffee & Sandwiches,cafe,Hokkaido
Popura Farm Cafe,cafe,Hokkaido
Kuratake Shrine,sushi,Kumamoto
Pompon Cakes,sushi,Kanagawa
POMPONCAKES GARE(ポンポンケークス ギャレ),sushi,Kanagawa
Zao Okama Observatory,sushi,Miyagi
Wogata,sushi,Kanagawa
Yobo-kan (Tateyama Museum),sushi,Toyama
Mandala Yuen (Tateyama Museum of Toyama),sushi,Toyama
