temple_name,address,prefecture,latitude,longitude,maps_url,regions
(株)砂糖傳増尾商店 本店,"10 Gangojicho, Nara, 630-8332, Japan",Nara,34.6755374,135.8303999,http://maps.google.com/?cid=8587948055724346998,Nara
551 Horai,"Japan, 〒600-8215 Kyoto, Shimogyo Ward, Higashishiokojicho, JR京都駅ビル 内2F ASTY SQUARE",Kyoto,34.9844444,135.7584342,http://maps.google.com/?cid=15207337488380484412,Kyoto
A Happy Pancake,"42-1 Osaki, Awaji, Hyogo 656-1501, Japan",Hyogo,34.5131512,134.8695311,http://maps.google.com/?cid=13608486197621314830,Hyogo
A Tes Souhaits,"Japan, 〒180-0002 Tokyo, Musashino, Kichijoji Higashicho, 3 Chome−8−8 カーサ吉祥寺２ カサ吉祥寺2",Tokyo,35.7090348,139.5907228,http://maps.google.com/?cid=1439915810556612163,Tokyo
ADERERROR Tokyo Space,"4 Chome-25-24 Jingumae, Shibuya, Tokyo 150-0001, Japan",Tokyo,35.6683864,139.7074718,http://maps.google.com/?cid=7246000251634486727,Tokyo
AKEMI CAKE LABO,"Japan, 〒154-0021 Tokyo, Setagaya City, Gotokuji, 1 Chome−5−4 1F",Tokyo,35.6504929,139.6471263,http://maps.google.com/?cid=16423604607668820459,Tokyo
AMORE Omotesando,"5 Chome-1-15 Jingumae, Shibuya, Tokyo 150-0001, Japan",Tokyo,35.6656088,139.7094719,http://maps.google.com/?cid=18070550276671525438,Tokyo
AMORE Vintage AOYAMA,"Japan, 〒150-0001 Tokyo, Shibuya, Jingumae, 5 Chome−1−6 ２F ２階",Tokyo,35.665805,139.7100254,http://maps.google.com/?cid=13704799177958928024,Tokyo
ASIAGOHAN to OHAGI ZEN,"2 Chome-10-11 Jinguji, Kanazawa, Ishikawa 920-0806, Japan",Ishikawa,36.5867354,136.6690131,http://maps.google.com/?cid=13049649942064321170,Ishikawa
Abeno Harukas,"1 Chome-1-43 Abenosuji, Abeno Ward, Osaka, 545-6016, Japan",Osaka,34.6460706,135.5134771,http://maps.google.com/?cid=535807412135534887,Osaka
Aigaiwatonobutatsu Shrine,"Japan, 〒656-2121 Hyogo, Sumoto, Aigacho, Heianura−２５",Hyogo,34.3945438,134.8946499,http://maps.google.com/?cid=17268288707505634063,Hyogo
Ajidokoro Umeshima,"2604-86 Ashibecho Hakozakinakayamafure, Iki, Nagasaki 811-5463, Japan",Nagasaki,33.8102145,129.7523221,http://maps.google.com/?cid=4563068422565830534,Nagasaki
Ajigasawa Station,"Shimotomita Maitomachi, Ajigasawa, Nishitsugaru District, Aomori 038-2761, Japan",Aomori,40.7752176,140.2207409,http://maps.google.com/?cid=1593421578978115863,Aomori
Akagi Shrine,"4-2 Fujimimachi Akagisan, Maebashi, Gunma 371-0101, Japan",Gunma,36.5526656,139.1835507,http://maps.google.com/?cid=6167107613312908646,Gunma
Akaishio Bridge,"Ajigasawa, Nishitsugaru District, Aomori 038-2723, Japan",Aomori,40.5710024,140.1240337,http://maps.google.com/?cid=9040181408933980344,Aomori
Amagoi Waterfalls,"Tani Jinryo, Kamiyama, Myozai District, Tokushima 771-3310, Japan",Tokushima,33.9509068,134.3353579,http://maps.google.com/?cid=10254225834583736207,Tokushima
Ann,"33 Jodoji Shimominamidacho, Sakyo Ward, Kyoto, 606-8404, Japan",Kyoto,35.02303,135.7931326,http://maps.google.com/?cid=13700085057767569290,Kyoto
Arimazen Sushi,"818 Arimacho, Kita Ward, Kobe, Hyogo 651-1401, Japan",Hyogo,34.796431,135.2482107,http://maps.google.com/?cid=5638099619853677572,Hyogo
Art House Project: Minamidera,"Japan, 〒761-3110 Kagawa, Kagawa District, Naoshima, 本村733",Kagawa,34.4588568,133.996982,http://maps.google.com/?cid=9063446566152337960,Kagawa
Atera Valley,"Nojiri, Okuwa, Kiso District, Nagano 399-5504, Japan",Nagano,35.669324,137.6232624,http://maps.google.com/?cid=7905631490064305519,Nagano
Awaji Yumebutai,"Japan, 〒656-2306 Hyogo, Awaji, Yumebutai, 2番地",Hyogo,34.5608495,135.0084363,http://maps.google.com/?cid=9393555750373534920,Hyogo
Awashima Shrine,"Kada, Wakayama, 640-0103, Japan",Wakayama,34.2736657,135.0664038,http://maps.google.com/?cid=15657838165788794839,Wakayama
Banjiiwa Observatory,"Japan, 〒982-0244 Miyagi, Sendai, Taihaku Ward, Akiumachi Baba, 林道二口線",Miyagi,38.271095,140.5139226,http://maps.google.com/?cid=16887561397577054677,Miyagi
Banna-ji Temple,"2220 Ietomicho, Ashikaga, Tochigi 326-0803, Japan",Tochigi,36.3373804,139.452244,http://maps.google.com/?cid=7831505427754084117,Tochigi
Beer Hall Luncheon,"Japan, 〒101-0051 Tokyo, Chiyoda City, Kanda Jinbocho, 1 Chome−６−6",Tokyo,35.6961438,139.7592999,http://maps.google.com/?cid=7888029452332364752,Tokyo
Belk,"7 Kojimakarakotocho, Kurashiki, Okayama 711-0905, Japan",Okayama,34.4609422,133.8815403,http://maps.google.com/?cid=5307321908322229521,Okayama
Bistro Kirakutei,"Japan, 〒154-0001 Tokyo, Setagaya City, Ikejiri, 3 Chome−30−5 ニュー池尻マンション １階",Tokyo,35.6477428,139.6784508,http://maps.google.com/?cid=13823042156929123227,Tokyo
"Bread, Espresso and Arashiyama Garden “Espresso and”","45-15 Sagatenryuji Susukinobabacho, Ukyo Ward, Kyoto, 616-8385, Japan",Kyoto,35.0147851,135.6749472,http://maps.google.com/?cid=1227974347151193049,Kyoto
Buppōshōryūji Temple,"Japan, 〒392-0012 Nagano, Suwa, Shiga, 桑原4373",Nagano,36.021136,138.138543,http://maps.google.com/?cid=14003769594953215682,Nagano
C'EST UNE BONNE IDEE,"Japan, 〒152-0035 Tokyo, Meguro City, Jiyugaoka, 2 Chome−15−7 １Ｆ",Tokyo,35.6074386,139.6665058,http://maps.google.com/?cid=9636564523888932334,Tokyo
CASA SOL,"661 Wakugawa, Nakijin, Kunigami District, Okinawa 905-0412, Japan",Okinawa,26.6590455,127.9875751,http://maps.google.com/?cid=1427389710275089720,Okinawa
Chichibu Shrine,"1-3 Banbamachi, Chichibu, Saitama 368-0041, Japan",Saitama,35.9976189,139.0841388,http://maps.google.com/?cid=5289732078875692948,Saitama
Chinese Garden Enchoen,"565-1 Hikiji, Yurihama, Tōhaku District, Tottori 689-0715, Japan",Tottori,35.4658923,133.8930304,http://maps.google.com/?cid=5776007563566089153,Tottori
Chionin Temple,"400 Rinkacho, Higashiyama Ward, Kyoto, 605-8686, Japan",Kyoto,35.0051988,135.7833827,http://maps.google.com/?cid=6959033030999210364,Kyoto
Chionji Temple,"466 Monju, Miyazu, Kyoto 626-0001, Japan",Kyoto,35.558751,135.1840924,http://maps.google.com/?cid=12974015211063939968,Kyoto
Chomeiji,"157 Chomeijicho, Omihachiman, Shiga 523-0808, Japan",Shiga,35.1627722,136.0638583,http://maps.google.com/?cid=10009300024038772718,Shiga
Chureito Pagoda,"2-chome-4-1 Asama, Fujiyoshida, Yamanashi 403-0011, Japan",Yamanashi,35.5012626,138.8013852,http://maps.google.com/?cid=15733293726462568345,Yamanashi
Covo Ishigama Pizza and Sake,"1 Chome-6-1 Miyakojimahondori, Miyakojima Ward, Osaka, 534-0021, Japan",Osaka,34.7088922,135.5238629,http://maps.google.com/?cid=12980235056815838605,Osaka
Creative Local Cuisine Kikufuji Main Store,"Japan, 〒036-8016 Aomori, Hirosaki, Sakamotocho, １",Aomori,40.601002,140.474201,http://maps.google.com/?cid=5866198681123875778,Aomori
Curry Honpo Mojiko Retro,"Japan, 〒801-0852 Fukuoka, Kitakyushu, Moji Ward, Minatomachi, 9−2 阿波屋ビル 1階",Fukuoka,33.9459954,130.9616205,http://maps.google.com/?cid=17407638278329582353,Fukuoka
Daigo-ji Temple,"22 Daigohigashiojicho, Fushimi Ward, Kyoto, 601-1325, Japan",Kyoto,34.9511172,135.8193543,http://maps.google.com/?cid=10444538046545984314,Kyoto
Daihō-in Temple,"20 Hanazonooyabucho, Ukyo Ward, Kyoto, 616-8023, Japan",Kyoto,35.0241736,135.7181911,http://maps.google.com/?cid=11167950175767546864,Kyoto
Daikozenji Temple,"3628 Sonobe, Kiyama, Miyaki District, Saga 841-0203, Japan",Saga,33.4292197,130.4958663,http://maps.google.com/?cid=12570560826364124217,Saga
Daitoku-ji Temple,"53 Murasakino Daitokujicho, Kita Ward, Kyoto, 603-8231, Japan",Kyoto,35.043891,135.74603,http://maps.google.com/?cid=11501919056162110113,Kyoto
Dewasanzan Shrine,"Haguroyama-３３番地 Haguromachi Touge, Tsuruoka, Yamagata 997-0211, Japan",Yamagata,38.7023491,139.981353,http://maps.google.com/?cid=11809270136321769675,Yamagata
Drive In Nanakoshi (Food Vending Machines),"853 Kamiochiai, Fujioka, Gunma 375-0057, Japan",Gunma,36.2624925,139.0410163,http://maps.google.com/?cid=897334893506194049,Gunma
Dōkutsu-kannon (Cave of Kannon),"Japan, 〒370-0864 Gunma, Takasaki, Ishiharamachi, 2857 山徳記念館",Gunma,36.3048085,138.9880498,http://maps.google.com/?cid=18175848237127704905,Gunma
EL FARO,"Japan, 〒900-0015 Okinawa, Naha, Kumoji, 3 Chome−18−12 永寿ビルⅡ ２階",Okinawa,26.2152637,127.6812488,http://maps.google.com/?cid=7271311992841066740,Okinawa
Echizen Ono Castle,"3-109 Shiromachi, Ono, Fukui 912-0087, Japan",Fukui,35.9865864,136.4830622,http://maps.google.com/?cid=659859002049027610,Fukui
Enkoji Temple (Circle of Light Temple),"11-11 Furukawacho Tonomachi, Hida, Gifu 509-4224, Japan",Gifu,36.2359152,137.186331,http://maps.google.com/?cid=3099521049285328814,Gifu
Enkōji Temple,"13 Ichijoji Kotanicho, Sakyo Ward, Kyoto, 606-8147, Japan",Kyoto,35.045091,135.797065,http://maps.google.com/?cid=16379541971888387186,Kyoto
Ennoji,"Japan, 〒843-0024 Saga, Takeo, 武雄町10513",Saga,33.2075881,130.0178665,http://maps.google.com/?cid=13054655762041658104,Saga
Enoshima Samuel Cocking Garden,"2 Chome-3-28 Enoshima, Fujisawa, Kanagawa 251-0036, Japan",Kanagawa,35.2997233,139.4790267,http://maps.google.com/?cid=18248893223885874848,Kanagawa
